accidents,total_deaths,suicide,births,cases,covid_deaths,pandemic,non_covid_deaths,sa_deaths,sa_births
81.0,1914.0,26.0,3067.0,,,False,1914.0,1652.674724052853,3087.5764016755115
87.0,1998.0,28.0,2963.0,1.0,0.0,False,1998.0,1609.0457423575558,3018.167700891899
83.0,1774.0,25.0,2723.0,0.0,0.0,False,1774.0,1756.695412703649,2976.7129424754003
84.0,1912.0,27.0,2828.0,501.0,7.0,True,1905.0,1857.416509205,2879.4043813061753
88.0,1701.0,21.0,2811.0,2438.0,38.0,True,1663.0,1748.7497459482206,2934.033422687952
100.0,1891.0,29.0,2833.0,4289.0,102.0,True,1789.0,1861.6403383503655,2899.8358662730434
88.0,1861.0,17.0,2611.0,14830.0,193.0,True,1668.0,1782.6083928252574,2722.9534402420995
128.0,2179.0,27.0,2893.0,20787.0,278.0,True,1901.0,1993.8848042940813,2763.271510586246
112.0,2083.0,30.0,2886.0,7789.0,362.0,True,1721.0,1865.0010943639654,2683.1441389770152
110.0,1833.0,13.0,2862.0,5711.0,288.0,True,1545.0,1698.5094785203642,2710.224567269034
115.0,1853.0,24.0,2784.0,6851.0,215.0,True,1638.0,1715.677173536516,2640.327019406234
109.0,2081.0,28.0,2606.0,24755.0,94.0,True,1987.0,2034.8664908957417,2602.98892788724
107.0,3330.0,19.0,2573.0,94732.0,298.0,True,3032.0,2618.0301793773515,2590.262171995791
136.0,4290.0,24.0,2478.0,63294.0,1187.0,True,3103.0,2498.933402670418,2524.1375507290336
115.0,2430.0,36.0,2418.0,15242.0,855.0,True,1575.0,1559.6365699031835,2643.2948567409176
125.0,2113.0,27.0,2700.0,5013.0,827.0,True,1286.0,1253.878021437076,2749.0777332131092
119.0,1709.0,29.0,2665.0,3868.0,213.0,True,1496.0,1573.1386770526387,2781.643212900531
121.0,1758.0,40.0,2753.0,1993.0,108.0,True,1650.0,1716.9963992610972,2817.9485138897594
105.0,1750.0,25.0,2916.0,1467.0,59.0,True,1691.0,1807.1887243810013,3041.031111354256
,1864.0,,2897.0,8865.0,20.0,True,1844.0,1934.099725995942,2767.0921417795903
,2085.0,,2969.0,22984.0,81.0,True,2004.0,2171.680530566756,2760.3101000078855
,2020.0,,2910.0,13722.0,207.0,True,1813.0,1993.1376599077155,2755.679067349018
,1941.0,,2969.0,7114.0,163.0,True,1778.0,1862.3162481977567,2815.779784704421
